volcano,volcanoLabel,latitude,longitude
http://www.wikidata.org/entity/Q1327687,Volcán de Agua,14.465,-90.742777777778
http://www.wikidata.org/entity/Q1435038,Kverkfjöll,64.6611122478,-16.6654282588
http://www.wikidata.org/entity/Q1515751,Sete Cidades Massif,37.87,-25.78
http://www.wikidata.org/entity/Q1602444,Helgrindur,64.86666667,-23.3
http://www.wikidata.org/entity/Q1478849,Incahuasi,-27.033333333333,-68.3
http://www.wikidata.org/entity/Q1738398,Keluo,49.37,125.92
http://www.wikidata.org/entity/Q1790072,Mount Okmok,53.396944444444,-168.16611111111
http://www.wikidata.org/entity/Q1515751,Sete Cidades Massif,37.855194444444,-25.786166666667
http://www.wikidata.org/entity/Q1754806,Mount Ontake,35.892777777778,137.48027777778
http://www.wikidata.org/entity/Q1752870,Volcán Tacaná,15.1334,-92.1058
http://www.wikidata.org/entity/Q1575468,Volcán San Pedro,14.6559,-91.2659
http://www.wikidata.org/entity/Q1752422,Pukekawa,-36.857,174.775
http://www.wikidata.org/entity/Q1586649,Yate,-41.758888888889,-72.400277777778
http://www.wikidata.org/entity/Q1584353,Har Bnei Rasan,33.081944444444,35.833888888889
http://www.wikidata.org/entity/Q1783754,Kuwae,-16.829166666667,168.53611111111
http://www.wikidata.org/entity/Q1945447,Mont Ross,-49.6,69.5
http://www.wikidata.org/entity/Q1798916,Vetzberg,50.6204,8.61697
http://www.wikidata.org/entity/Q1798916,Vetzberg,50.6204,8.61697
http://www.wikidata.org/entity/Q1632346,Hrafnabjörg,64.272593,-20.921597
http://www.wikidata.org/entity/Q1790072,Mount Okmok,53.43,-168.13
http://www.wikidata.org/entity/Q1582571,Mount Parker,6.11416667,124.88972222
http://www.wikidata.org/entity/Q1628555,Hornopirén,-41.874444444444,-72.431388888889
http://www.wikidata.org/entity/Q1478289,Tupan Patera,-18.73,141.13
http://www.wikidata.org/entity/Q1869839,Lopevi,-16.833333333333,168.5
http://www.wikidata.org/entity/Q1672337,Menengai,-0.2,36.066666666667
http://www.wikidata.org/entity/Q1367704,Esjufjöll,64.2562657752,-16.5002254691
http://www.wikidata.org/entity/Q1422715,Rangitoto Island,-36.786742,174.860115
http://www.wikidata.org/entity/Q1545699,Grensdalur,64.04649,-21.190626
http://www.wikidata.org/entity/Q1377333,Mount Osore,41.279,141.12
http://www.wikidata.org/entity/Q1638935,Jabuka,43.091813888889,15.460098888889
http://www.wikidata.org/entity/Q1672472,Irazú Volcano,9.9791666666667,-83.8525
http://www.wikidata.org/entity/Q1552026,Tacora,-17.716666666667,-69.766666666667
http://www.wikidata.org/entity/Q1315012,Snæfellsjökull,64.809,-23.771
http://www.wikidata.org/entity/Q1637140,Hummelsberg,50.582067,7.324987
http://www.wikidata.org/entity/Q1427939,Fonualei,-18.024,-174.325
http://www.wikidata.org/entity/Q1435038,Kverkfjöll,64.65,-16.716666666667
